review_id,product_name,review_date,rating,review_text,category
S001,무선 이어폰 A,2026-09-09,5,지하철에서도 연결이 안정적이고 음질이 선명해서 출퇴근할 때 만족스럽습니다.,전자
S002,무선 이어폰 A,2026-09-10,4,"The earbuds fit comfortably, and the battery lasts through my commute. I am very happy with them.",전자
S003,무선 이어폰 A,2026-09-11,3,검은색 이어폰과 충전 케이스를 받았습니다. 아직 전원을 켜지는 않았습니다.,전자
S004,무선 이어폰 A,2026-09-16,1,통화할 때 연결이 반복해서 끊겨 대화를 이어가기 어렵고 사용이 불편합니다.,전자
S005,무선 이어폰 A,2026-09-17,2,"한 시간도 못 가서 배터리가 꺼져요. The battery doesn't last, so I am disappointed.",전자
S006,무선 이어폰 A,2026-09-18,3,케이스 앞면에 충전 표시등이 있고 구성품에는 USB 케이블이 포함되어 있습니다.,전자
S007,블루투스 스피커 B,2026-09-10,5,거실에서 음악을 들으니 저음이 풍부하고 작은 볼륨에서도 소리가 또렷합니다.,전자
S008,블루투스 스피커 B,2026-09-11,4,The sound is clear and pairing with my phone was easy. I would happily buy this speaker again.,전자
S009,블루투스 스피커 B,2026-09-12,3,파란색 스피커를 주문했고 오늘 받아서 상자만 개봉한 상태입니다.,전자
S010,블루투스 스피커 B,2026-09-17,1,볼륨을 올리면 잡음이 크게 들리고 연결도 자주 끊겨 음악을 듣기 어렵습니다.,전자
S011,블루투스 스피커 B,2026-09-18,2,충전 단자가 흔들려 케이블을 계속 잡아야 합니다. Charging is unreliable and frustrating.,전자
S012,블루투스 스피커 B,2026-09-19,3,상단에는 전원 버튼과 볼륨 버튼이 있으며 설명서는 한국어와 영어로 되어 있습니다.,전자
S013,보온 텀블러 C,2026-09-11,5,아침에 담은 차가 오후까지 따뜻하고 뚜껑도 잘 닫혀 가방에 넣기 좋습니다.,생활
S014,보온 텀블러 C,2026-09-12,4,"This tumbler keeps my tea warm, does not leak, and is easy to wash. I really like it.",생활
S015,보온 텀블러 C,2026-09-13,3,용량 500밀리리터인 은색 텀블러를 받았고 아직 음료는 담아 보지 않았습니다.,생활
S016,보온 텀블러 C,2026-09-18,1,뚜껑을 끝까지 잠가도 물이 새서 가방 안이 젖었습니다. 다시 쓰기 어렵습니다.,생활
S017,보온 텀블러 C,2026-09-19,2,"뜨거운 차가 한 시간 만에 식었습니다. It does not keep drinks warm, which is disappointing.",생활
S018,보온 텀블러 C,2026-09-20,3,본체 안쪽은 스테인리스이고 뚜껑에는 분리할 수 있는 고무 패킹이 있습니다.,생활
S019,무선 청소기 D,2026-09-12,5,바닥의 머리카락을 한 번에 잘 빨아들이고 무게도 가벼워 청소가 편해졌습니다.,생활
S020,무선 청소기 D,2026-09-13,4,The vacuum is light and picks up dust well. Cleaning the living room has become much easier.,생활
S021,무선 청소기 D,2026-09-14,3,청소기 본체와 바닥용 브러시를 받았으며 현재 충전만 해 둔 상태입니다.,생활
S022,무선 청소기 D,2026-09-19,1,흡입력이 약해서 같은 자리를 여러 번 지나가도 먼지가 남아 답답합니다.,생활
S023,무선 청소기 D,2026-09-20,2,십 분 정도 사용하면 전원이 꺼집니다. It stops too soon and cannot finish one room.,생활
S024,무선 청소기 D,2026-09-21,3,먼지통은 본체에서 분리되며 추가 브러시 두 개가 상자 안에 들어 있습니다.,생활
S025,무향 핸드크림 E,2026-09-13,5,흡수가 빠르고 끈적임이 없어서 손을 씻은 뒤 자주 발라도 편안합니다.,뷰티
S026,무향 핸드크림 E,2026-09-14,4,The cream absorbs quickly and leaves my hands soft without a strong scent. I am pleased with it.,뷰티
S027,무향 핸드크림 E,2026-09-15,3,무향 제품 50밀리리터를 수령했으며 아직 밀봉된 포장을 열지 않았습니다.,뷰티
S028,무향 핸드크림 E,2026-09-20,1,용기 입구가 갈라져 내용물이 상자 안에 새어 왔고 정상적으로 쓰기 어렵습니다.,뷰티
S029,무향 핸드크림 E,2026-09-21,2,제품 설명과 달리 향이 너무 강해요. The strong smell is unpleasant and I regret buying it.,뷰티
S030,무향 핸드크림 E,2026-09-22,3,용기 뒷면에 사용 기한이 적혀 있고 뚜껑은 돌려서 여는 방식입니다.,뷰티
S031,,2026-09-22,4,배송이 빠르고 포장도 꼼꼼해서 상품을 기분 좋게 받았습니다.,전자
S032,무선 이어폰 A,,2,왼쪽 소리가 반복해서 끊겨 이동 중에 음악을 듣기 불편합니다.,전자
S033,보온 텀블러 C,2026-09-22,,오늘 제품을 받았으며 세척 후에 사용해 볼 예정입니다.,생활
S034,,,,The package arrived today. I have not opened or used the item yet.,
S035,블루투스 스피커 B,2026-09-22,6,소리가 선명하고 연결도 빠르게 되어 만족스럽습니다.,전자
S036,보온 텀블러 C,2026-02-30,3,포장을 열고 제품 구성품을 확인한 상태입니다.,생활
S037,무선 청소기 D,2026-09-22,3,,생활
S038,무향 핸드크림 E,2026-09-22,5,굿,뷰티
S001,무선 이어폰 A,2026-09-09,5,지하철에서도 연결이 안정적이고 음질이 선명해서 출퇴근할 때 만족스럽습니다.,전자
S014,보온 텀블러 C,2026-09-12,4,"This tumbler keeps my tea warm, does not leak, and is easy to wash. I really like it.",생활
